in_640,in_488,major_length,minor_length,length_ratio,eccentricity,solidity,mean_intensity,max_intensity
True,True,14.761537268049969,9.909595329149615,1.4896205912396738,0.7411749862970987,0.9262295081967213,4099.566371681416,5627.0
True,True,18.05578749806928,9.60637250801062,1.8795635359983356,0.8467202183418984,0.8926174496644296,2534.5263157894738,4409.0
True,True,9.142432071741528,8.401477530915667,1.0881933597057625,0.3943639702242824,0.9230769230769231,2193.6666666666665,3315.0
True,True,11.36165093603074,9.854937065223499,1.1528892421439505,0.49763592188923644,0.9560439560439561,2870.448275862069,4021.0
True,True,9.454703149592124,8.910572579147912,1.0610657233303842,0.3343508193653123,0.9295774647887324,2280.8636363636365,3217.0
True,True,10.098743080042054,9.448588923630192,1.0688096551748356,0.3530080366924909,0.9259259259259259,2479.72,3247.0
True,True,10.214857328133707,9.16579119523399,1.1144545080080663,0.44142129550246584,0.9240506329113924,2180.3150684931506,3194.0
True,True,10.862241055832142,7.505727013087714,1.4471937258602328,0.722861934503502,0.927536231884058,2328.9375,3882.0
True,True,26.441704874471164,9.625756671090853,2.746974160110872,0.9313845202079115,0.8853211009174312,2790.813471502591,4146.0
True,True,11.254267115123982,9.260817941508266,1.2152562736956782,0.5682272091431823,0.9529411764705882,1927.1358024691358,2612.0
True,True,9.520452549140675,7.72140789773145,1.2329943791219526,0.5849994277408584,0.9661016949152542,3016.40350877193,4024.0
True,False,17.52635478092072,9.312661569025925,1.8819920204545775,0.8471512139034276,0.8461538461538461,2139.884297520661,2498.0
True,False,3.23606797749979,1.2360679774997898,2.618033967569555,0.9241763718304448,1.0,1974.25,2023.0
True,False,2.3094010767585034,1.3333333333333333,1.7320507945784966,0.816496580927726,1.0,1314.3333333333333,1379.0
True,False,3.4641016151377544,2.7386127875258306,1.2649110594485495,0.6123724356957945,1.0,1749.25,2244.0
True,False,12.497709766116218,8.85271553825329,1.4117374152592208,0.705864357706834,0.9239130434782609,2361.105882352941,3700.0
True,False,2.0,2.0,0.999999995,0.0,1.0,1586.5,1606.0
True,False,2.3094010767585034,1.3333333333333333,1.7320507945784966,0.816496580927726,1.0,1369.3333333333333,1502.0
True,False,3.126943839882286,2.309401076758503,1.3540063949096404,0.6741998624632421,1.0,1546.6666666666667,1829.0
True,False,3.126943839882286,2.309401076758503,1.3540063949096404,0.6741998624632421,1.0,1368.0,1654.0
True,False,2.3094010767585034,1.3333333333333333,1.7320507945784966,0.816496580927726,1.0,1434.0,1465.0
True,False,6.29874755946555,4.430752115171162,1.4215978194045837,0.7107607529124723,0.9565217391304348,1928.6818181818182,2775.0
True,False,6.972685625211834,6.226769518150793,1.1197918268355374,0.4500107723980051,0.9444444444444444,1656.5294117647059,1852.0
True,False,4.216370213557839,3.265986323710904,1.2909944447829587,0.6324555320336759,0.6923076923076923,1451.3333333333333,1578.0
False,True,14.409221195051481,7.769718873081433,1.8545357189727376,0.8421658932393097,0.9157894736842105,40621.71264367816,65535.0
False,True,5.556341125566584,4.574611819197062,1.2146038468452602,0.567586589848995,1.0,16436.45,23732.0
False,True,8.951621294588012,7.146221113167326,1.2526370427536535,0.6022389994575873,0.8928571428571429,23788.6,41560.0
False,True,6.324555320336759,6.324555320336759,0.9999999984188612,0.0,1.0,14508.5,17379.0
True,True,20.191032785642697,8.85624702895182,2.279863320979854,0.8986712706165019,0.9172413793103448,2571.9774436090224,4406.0
True,True,9.387836745089258,8.05037148392693,1.1661370847508452,0.5144304370374181,0.921875,2406.2203389830506,3670.0
True,True,9.63577353135793,7.1849667876112004,1.3411020263255153,0.6663317419135747,0.9310344827586207,2276.777777777778,4093.0
True,True,10.73336221580319,9.265642706008785,1.158404499804265,0.5047658228267276,0.9069767441860465,2696.24358974359,4097.0
True,True,9.869021694600356,8.911359305692114,1.1074653534867438,0.42971875748185995,0.9324324324324325,2682.5652173913045,3901.0
True,True,11.076618801784306,8.194120938866764,1.3517763370720306,0.6728627406480052,0.9459459459459459,3068.1428571428573,3555.0
True,True,9.85912498931686,9.180711001044662,1.0738955814485442,0.3645361698227609,0.9466666666666667,2605.9154929577467,3953.0
True,True,10.420307106742126,9.297426017404064,1.1207733275885585,0.45155936888551995,0.987012987012987,2954.657894736842,4190.0
True,True,14.16017654482475,7.819509512596103,1.8108778439243494,0.8336995138959182,0.9230769230769231,2216.845238095238,3046.0
True,True,14.662016366489643,10.768845992902017,1.3615215931714952,0.6786385852338886,0.9763779527559056,3629.9435483870966,5838.0
True,True,9.216543415678467,8.3345195635863,1.1058277965879966,0.4268976891539716,0.9836065573770492,2237.983333333333,3237.0
True,False,3.0237157840738176,2.799416848895061,1.0801234458762559,0.377964473009227,1.0,1677.857142857143,1793.0
True,False,4.418071998329192,3.3718731747306854,1.3102722896982462,0.6461621652955032,0.9230769230769231,1800.3333333333333,2341.0
False,True,16.291844095475287,7.911825981617286,2.0591762398132585,0.8741638552872635,0.9439252336448598,24965.831683168315,47883.0
True,True,10.093610920157476,9.39098523537812,1.074819165020535,0.3665735752722415,0.925,2243.189189189189,3000.0
True,True,11.877712547951724,9.98918713067721,1.1890569653644991,0.5410310780245451,0.9489795918367347,3095.935483870968,4539.0
True,True,11.32934495184145,8.661284188192354,1.3080444761535397,0.6446237303342848,0.9390243902439024,2358.3376623376626,3006.0
True,False,10.05531296151451,8.984854943829086,1.1191402658347005,0.44897753838267207,0.9861111111111112,2559.3521126760565,3713.0
